model,sample_size,run_number,epoch,train_loss,train_acc,train_auc,train_bal_acc,val_loss,val_acc,val_auc,val_bal_acc
resnet18,100,47,0,0.6229204177856446,57.0,0.6143451143451143,0.5348232848232848,0.6000626687785141,74.23664122137404,0.6655526992287918,0.5
resnet18,100,47,1,0.331875901222229,87.0,0.9511434511434511,0.7998960498960499,0.6232775465677712,74.23664122137404,0.6687422641150147,0.5
resnet18,100,47,2,0.28335009336471556,90.0,0.9568607068607068,0.8326403326403327,0.9209696650505066,74.23664122137404,0.6409216414357802,0.5
resnet18,100,47,3,0.24474285364151002,90.0,0.95997920997921,0.8575883575883576,1.2702351076002338,74.23664122137404,0.6236884699609635,0.5
resnet18,100,47,4,0.21441265001893042,92.0,0.9656964656964657,0.8711018711018712,1.5305856671042115,74.23664122137404,0.6045225173759878,0.5
resnet18,100,47,5,0.2077702659368515,91.0,0.971933471933472,0.8768191268191268,1.873802911234266,74.23664122137404,0.6333523755117585,0.5
resnet18,100,47,6,0.1591317892074585,95.0,0.983887733887734,0.9412681912681913,2.242996794576863,74.23664122137404,0.6455488907931067,0.5
resnet18,100,47,7,0.14220699191093444,93.0,0.987006237006237,0.9028066528066527,2.1368939894756287,74.23664122137404,0.6419880034275921,0.5
resnet18,100,47,8,0.11558849573135375,97.0,0.9958419958419958,0.9547817047817049,1.9813375827920345,74.23664122137404,0.6401504332095592,0.5
resnet18,100,47,9,0.10807677984237671,98.0,0.9974012474012475,0.974012474012474,1.7975099150461096,74.23664122137404,0.6230886413405694,0.5
resnet18,100,47,10,0.08313205316662789,98.0,0.9994802494802495,0.974012474012474,1.6921827547422803,74.23664122137404,0.6863658002475483,0.5
resnet18,100,47,11,0.07044382840394973,100.0,1.0,1.0,1.6420024442308732,74.23664122137404,0.696667618775588,0.5
resnet18,100,47,12,0.04555639386177063,100.0,1.0,1.0,1.6007694615662553,74.23664122137404,0.7223364752927735,0.5
resnet18,100,47,13,0.06319969058036805,98.0,0.998960498960499,0.9615384615384616,1.5573590047486865,74.23664122137404,0.8211368180519854,0.5
resnet18,100,47,14,0.0364275636151433,100.0,1.0,1.0,1.2114999144131902,74.61832061068702,0.8204227363610397,0.5074074074074074
resnet18,100,47,15,0.05179651886224747,100.0,1.0,1.0,0.6746715875982329,77.29007633587786,0.9440921641435781,0.5592592592592592
resnet18,100,47,16,0.029243122935295105,100.0,1.0,1.0,0.8957777314513694,76.14503816793894,0.8884699609635343,0.537037037037037
resnet18,100,47,17,0.01660887211561203,100.0,1.0,1.0,0.8315674435091382,77.48091603053435,0.8605922117490241,0.5677996762829668
resnet18,100,47,18,0.029385692179203032,99.0,1.0,0.9807692307692308,0.465621764423283,84.35114503816794,0.9522803008664191,0.7108064362563077
resnet18,100,47,19,0.0193363681435585,100.0,1.0,1.0,0.40161829322349024,86.25954198473282,0.9260592211749025,0.8107207464533943
resnet18,100,47,20,0.08556439101696015,98.0,0.9942827442827442,0.974012474012474,0.9212060784565583,77.09923664122137,0.9367228410930212,0.5555555555555556
resnet18,100,47,21,0.029818792045116425,100.0,1.0,1.0,0.33310365585880425,88.54961832061069,0.9609254498714652,0.7947062743977911
resnet18,100,47,22,0.01245513278990984,100.0,1.0,1.0,0.9102355810522124,73.2824427480916,0.9306293439969532,0.8055412739217367
resnet18,100,47,23,0.03277621746063233,99.0,0.9994802494802495,0.9807692307692308,0.275167650280108,90.26717557251908,0.9637056079215462,0.8812434542511663
resnet18,100,47,24,0.020662183053791524,100.0,1.0,1.0,0.4543250485230948,85.30534351145039,0.9077025611729982,0.7873655146148719
resnet18,100,47,25,0.11652088463306427,96.0,0.9911642411642412,0.9355509355509355,0.2968769145148401,88.93129770992367,0.9522803008664191,0.864990954965248
resnet18,100,47,26,0.02742077648639679,100.0,1.0,1.0,0.9731771522805891,72.70992366412214,0.9405122345996381,0.8041035894506332
resnet18,100,47,27,0.02770843043923378,100.0,1.0,1.0,0.4314526453727984,86.45038167938931,0.9603161001618585,0.8869751499571551
resnet18,100,47,28,0.008893715373706073,100.0,1.0,1.0,0.9942158933814246,79.77099236641222,0.931048271922308,0.8492430734075979
resnet18,100,47,29,0.022668966352939607,100.0,1.0,1.0,0.6043325794562129,83.77862595419847,0.945082357421689,0.8713986480053318
resnet18,100,47,30,0.010871199443936348,100.0,1.0,1.0,0.4200371003332939,87.78625954198473,0.9508711796629535,0.8862991526230601
resnet18,100,47,31,0.00800540707539767,100.0,1.0,1.0,0.6427514648619499,84.92366412213741,0.9548509949538228,0.8887841569075502
resnet18,100,47,32,0.017921869903802873,100.0,1.0,1.0,1.1714737961310466,71.56488549618321,0.9361896600971151,0.7963915071884223
resnet18,100,47,33,0.012748912051320076,100.0,1.0,1.0,5.526083458470934,43.3206106870229,0.7921736646672378,0.6109968580405598
resnet18,100,47,34,0.024656139314174652,99.0,1.0,0.9807692307692308,2.8141006677205325,58.01526717557252,0.8142816338189087,0.6857850138055793
resnet18,100,47,35,0.09386745601892471,95.0,0.9948024948024948,0.9163201663201663,0.3614708430894459,87.40458015267176,0.9440636008759402,0.8571265352756355
resnet18,100,47,36,0.014616439174860716,100.0,1.0,1.0,0.44837988196438505,86.6412213740458,0.9258687993906503,0.810873083880796
resnet18,100,47,37,0.009917214401066304,100.0,1.0,1.0,0.42994260674214546,87.21374045801527,0.9253737027515948,0.8098924116918975
resnet18,100,47,38,0.007858916372060775,100.0,1.0,1.0,0.2866784358070097,89.12213740458016,0.9539179282109873,0.8493478053889365
