model,sample_size,run_number,epoch,train_loss,train_acc,train_auc,train_bal_acc,val_loss,val_acc,val_auc,val_bal_acc
deit,1000,45,0,0.7013032369613648,57.7,0.597572,0.577,0.6669756817817688,59.333333333333336,0.6312444444444445,0.5933333333333334
deit,1000,45,1,0.6369090480804444,63.1,0.687664,0.631,0.6647615146636963,59.666666666666664,0.7172444444444442,0.5966666666666667
deit,1000,45,2,0.6218694560527801,65.0,0.710752,0.6499999999999999,0.5696652086575826,70.66666666666667,0.7944444444444445,0.7066666666666667
deit,1000,45,3,0.5819678583145141,70.0,0.761568,0.7,0.567658904393514,70.66666666666667,0.7866222222222222,0.7066666666666667
deit,1000,45,4,0.5431458415985108,73.9,0.803816,0.739,0.6986311459541321,59.333333333333336,0.8526222222222223,0.5933333333333333
deit,1000,45,5,0.4955909399986267,77.3,0.840764,0.7729999999999999,0.5197802257537841,72.33333333333333,0.8786222222222222,0.7233333333333334
deit,1000,45,6,0.4446245460510254,79.9,0.8751599999999999,0.799,0.5382620779673258,73.33333333333333,0.8510222222222222,0.7333333333333334
deit,1000,45,7,0.4000068602561951,82.5,0.8994879999999998,0.825,0.4088081192970276,81.33333333333333,0.9024444444444445,0.8133333333333332
deit,1000,45,8,0.34831865310668947,85.7,0.9256800000000001,0.857,0.4193350092569987,80.0,0.9029333333333334,0.8
deit,1000,45,9,0.328854944229126,86.7,0.933216,0.867,0.38580273230870565,84.0,0.9210222222222222,0.8400000000000001
deit,1000,45,10,0.2834407706260681,88.2,0.951164,0.882,0.45424586613972984,80.66666666666667,0.9136444444444444,0.8066666666666666
deit,1000,45,11,0.26734875988960266,89.8,0.9565079999999999,0.898,0.32990797996521,85.66666666666667,0.9326666666666668,0.8566666666666667
deit,1000,45,12,0.22381745398044586,90.9,0.968212,0.909,0.46981810410817465,83.0,0.9295555555555557,0.8300000000000001
deit,1000,45,13,0.20689947426319122,91.9,0.9727,0.919,0.5977248986562093,82.66666666666667,0.9105777777777778,0.8266666666666667
deit,1000,45,14,0.21627166318893432,92.2,0.971848,0.922,0.41454379121462503,83.66666666666667,0.9284000000000001,0.8366666666666667
deit,1000,45,15,0.1828166140317917,91.7,0.9787280000000002,0.917,0.29490506927172344,89.33333333333333,0.9489333333333334,0.8933333333333333
deit,1000,45,16,0.11686639910936356,95.8,0.9885879999999999,0.958,0.402256186803182,87.33333333333333,0.9336,0.8733333333333333
deit,1000,45,17,0.1654379718825221,94.2,0.980984,0.942,0.2736616273721059,91.0,0.9513777777777778,0.9099999999999999
deit,1000,45,18,0.10397959899902344,96.8,0.989324,0.968,0.40678337196509046,89.0,0.9431111111111111,0.8899999999999999
deit,1000,45,19,0.13219060680270195,95.9,0.987668,0.959,0.37288011074066163,87.66666666666667,0.9435111111111111,0.8766666666666667
deit,1000,45,20,0.189795253098011,93.0,0.9778359999999999,0.9299999999999999,0.31137577931086224,88.66666666666667,0.9417333333333334,0.8866666666666667
deit,1000,45,21,0.17092478313669562,94.6,0.9797239999999999,0.946,0.3030356589953105,89.66666666666667,0.9529777777777778,0.8966666666666667
deit,1000,45,22,0.06883837220817804,98.1,0.9955280000000001,0.981,0.3724607078234355,89.0,0.9473333333333334,0.89
deit,1000,45,23,0.1211460335701704,95.6,0.99198,0.956,0.43120005130767824,86.33333333333333,0.9404888888888888,0.8633333333333333
deit,1000,45,24,0.055059849083423616,98.5,0.9960840000000001,0.985,0.4059208623568217,89.0,0.9524888888888888,0.89
deit,1000,45,25,0.023225252408534288,99.4,0.998872,0.994,0.4410160271326701,89.0,0.9545777777777779,0.89
deit,1000,45,26,0.020093929348513485,99.6,0.9981479999999999,0.996,0.4525995767116547,90.0,0.9632444444444445,0.9
deit,1000,45,27,0.03467650130391121,99.2,0.9981679999999999,0.992,0.4424500060081482,89.0,0.9480000000000001,0.89
deit,1000,45,28,0.054349002908915284,98.6,0.997112,0.986,0.40256297508875527,89.33333333333333,0.9617777777777777,0.8933333333333333
deit,1000,45,29,0.06378188720345497,98.1,0.996772,0.981,0.35117487629254657,90.33333333333333,0.9524888888888888,0.9033333333333333
deit,1000,45,30,0.0390675597563386,98.6,0.9982480000000001,0.986,0.4072012190024058,88.66666666666667,0.9549333333333334,0.8866666666666667
deit,1000,45,31,0.03159829346090555,99.2,0.997668,0.992,0.35757334232330323,90.33333333333333,0.9531555555555556,0.9033333333333333
deit,1000,45,32,0.04865045812726021,98.7,0.9980519999999999,0.987,0.47612801373004915,88.33333333333333,0.9454222222222222,0.8833333333333333
deit,1000,45,33,0.03647687242552638,98.8,0.997836,0.988,0.37633750836054486,90.66666666666667,0.955911111111111,0.9066666666666667
deit,1000,45,34,0.030755952965468167,98.9,0.9979359999999999,0.989,0.5012468039989472,88.66666666666667,0.9562222222222222,0.8866666666666667
deit,1000,45,35,0.034381169613450765,98.8,0.99832,0.988,0.3008982243016362,92.33333333333333,0.9654222222222222,0.9233333333333333
deit,1000,45,36,0.013519801270216703,99.7,0.998524,0.997,0.3430652936299642,93.33333333333333,0.9627555555555556,0.9333333333333333
deit,1000,45,37,0.01005991411022842,99.8,0.998652,0.998,0.4437862269083659,91.0,0.9622666666666666,0.9099999999999999
deit,1000,45,38,0.020762942638248204,99.6,0.998348,0.996,0.46071749528249106,89.66666666666667,0.9597333333333332,0.8966666666666667
deit,1000,45,39,0.013308522617444396,99.7,0.998424,0.997,0.6450399994850159,86.33333333333333,0.9631555555555557,0.8633333333333333
deit,1000,45,40,0.01955975520797074,99.4,0.9987119999999999,0.994,0.363338694969813,93.0,0.9657777777777778,0.9299999999999999
deit,1000,45,41,0.02526294378004968,99.4,0.998424,0.994,0.3496074220817536,91.66666666666667,0.970711111111111,0.9166666666666666
deit,1000,45,42,0.050517940741032365,98.4,0.9980600000000001,0.984,0.36529215216636657,91.66666666666667,0.9672,0.9166666666666666
deit,1000,45,43,0.02791899585351348,99.2,0.9985599999999999,0.992,0.40334373792012534,90.66666666666667,0.9546666666666667,0.9066666666666667
deit,1000,45,44,0.009856752770021559,99.9,0.9987320000000001,0.999,0.4087612962722778,91.0,0.9640888888888888,0.91
deit,1000,45,45,0.008203833693638444,99.9,0.998952,0.999,0.4046889392534892,91.66666666666667,0.9660000000000001,0.9166666666666667
deit,1000,45,46,0.008001171017065644,99.9,0.999204,0.999,0.37307563980420433,92.0,0.9668,0.9199999999999999
deit,1000,45,47,0.00795372941158712,99.9,0.999296,0.999,0.38708502928415933,91.66666666666667,0.9672888888888888,0.9166666666666667
deit,1000,45,48,0.00793674448877573,99.9,0.998976,0.999,0.40772075653076173,91.66666666666667,0.9670666666666667,0.9166666666666667
deit,1000,45,49,0.007850771851837635,99.9,0.999456,0.999,0.4135291282335917,91.66666666666667,0.9672444444444445,0.9166666666666667
deit,1000,45,50,0.007812162862159312,99.9,0.999528,0.999,0.41460684935251874,91.33333333333333,0.9674222222222222,0.9133333333333333
deit,1000,45,51,0.007791825896129012,99.9,0.9994959999999999,0.999,0.4244560670852661,91.33333333333333,0.9675999999999999,0.9133333333333333
deit,1000,45,52,0.007749918266199529,99.9,0.9996120000000001,0.999,0.4273069079717,91.66666666666667,0.9675111111111111,0.9166666666666667
deit,1000,45,53,0.0077128721550107,99.9,0.9996480000000001,0.999,0.43389206886291504,91.66666666666667,0.9675111111111111,0.9166666666666667
deit,1000,45,54,0.007685362281277776,99.9,0.999588,0.999,0.4408557875951131,91.33333333333333,0.9676444444444444,0.9133333333333333
deit,1000,45,55,0.007639405305497348,99.9,0.9996440000000001,0.999,0.4487950579325358,91.33333333333333,0.9676,0.9133333333333333
deit,1000,45,56,0.007610447215847671,99.9,0.9997039999999999,0.999,0.45644993940989176,91.33333333333333,0.9676444444444445,0.9133333333333333
deit,1000,45,57,0.0075604568608105185,99.9,0.999668,0.999,0.45046921888987224,91.33333333333333,0.9682222222222223,0.9133333333333333
deit,1000,45,58,0.007500733453780412,99.9,0.9997,0.999,0.45639872868855796,91.66666666666667,0.9680444444444445,0.9166666666666666
deit,1000,45,59,0.007432220281101763,99.9,0.999728,0.999,0.45555529117584226,91.66666666666667,0.9680444444444445,0.9166666666666666
deit,1000,45,60,0.007372567175887525,99.9,0.9996879999999999,0.999,0.46435631116231285,91.66666666666667,0.9665333333333332,0.9166666666666667
deit,1000,45,61,0.0072956879194825885,99.9,0.999784,0.999,0.46877422014872233,91.66666666666667,0.9647555555555556,0.9166666666666667
deit,1000,45,62,0.007236069214530289,99.9,0.999756,0.999,0.4719037659962972,91.66666666666667,0.9631111111111111,0.9166666666666667
deit,1000,45,63,0.0071242963252589105,99.9,0.999824,0.999,0.48034951368967693,91.66666666666667,0.9607777777777777,0.9166666666666667
deit,1000,45,64,0.00712736901640892,99.9,0.999832,0.999,0.4146735342343648,92.33333333333333,0.9684444444444443,0.9233333333333333
deit,1000,45,65,0.056974441790953276,98.6,0.99724,0.986,0.6592358875274659,86.0,0.9383111111111111,0.86
deit,1000,45,66,0.06075435436517,98.4,0.996264,0.984,0.6517128955821196,87.0,0.9296444444444445,0.87
deit,1000,45,67,0.11058067675679922,97.5,0.987132,0.975,0.3123540039857229,90.33333333333333,0.9602222222222222,0.9033333333333333
deit,1000,45,68,0.02318742198869586,99.5,0.999276,0.995,0.35059680660565695,91.33333333333333,0.9581777777777778,0.9133333333333333
deit,1000,45,69,0.03448243213444948,99.0,0.99844,0.99,0.5158603739738464,88.33333333333333,0.9625333333333332,0.8833333333333333
