model,sample_size,run_number,epoch,train_loss,train_acc,train_auc,train_bal_acc,val_loss,val_acc,val_auc,val_bal_acc
quixer,100,43,0,0.6950448608398437,50.0,0.4976,0.5,0.6929129846890767,50.0,0.7020444444444445,0.5
quixer,100,43,1,0.6929687166213989,50.0,0.6124,0.5,0.6925683943430583,50.0,0.7338222222222223,0.5
quixer,100,43,2,0.6924897241592407,48.0,0.62,0.48,0.6930229592323304,50.0,0.7365333333333333,0.5
quixer,100,43,3,0.6953240203857421,50.0,0.5356,0.5,0.694937158425649,50.0,0.7161777777777778,0.5
quixer,100,43,4,0.694569582939148,50.0,0.5652,0.5,0.6926045489311218,50.0,0.7312888888888889,0.5
quixer,100,43,5,0.6931394338607788,50.0,0.5608000000000001,0.5,0.691558895111084,50.0,0.7408888888888889,0.5
quixer,100,43,6,0.6934200096130371,50.0,0.5144,0.5,0.6923230353991191,50.0,0.7324444444444445,0.5
quixer,100,43,7,0.6924700951576233,50.0,0.8008,0.5,0.6918441239992777,50.0,0.7345777777777777,0.5
quixer,100,43,8,0.6919002842903137,50.0,0.6000000000000001,0.5,0.6908141581217447,61.333333333333336,0.7334222222222223,0.6133333333333333
quixer,100,43,9,0.6916942119598388,54.0,0.5760000000000001,0.54,0.6925786137580872,50.0,0.7300444444444445,0.5
quixer,100,43,10,0.6928182053565979,50.0,0.6656000000000001,0.5,0.6940075397491455,50.0,0.7386666666666666,0.5
quixer,100,43,11,0.6935872173309326,50.0,0.8072,0.5,0.6934010163942973,50.0,0.7363555555555557,0.5
quixer,100,43,12,0.6925857496261597,50.0,0.8051999999999999,0.5,0.6921782565116882,50.0,0.7216888888888888,0.5
quixer,100,43,13,0.6917869591712952,50.0,0.7884,0.5,0.6916684460639954,50.0,0.7214666666666667,0.5
quixer,100,43,14,0.6913293170928955,50.0,0.7756,0.5,0.6919917233784993,50.0,0.7020444444444444,0.5
quixer,100,43,15,0.6900850749015808,50.0,0.7648,0.5,0.6888853875796,50.0,0.7223999999999999,0.5
quixer,100,43,16,0.6908231925964355,50.0,0.6056,0.5,0.6867122721672058,54.666666666666664,0.7212888888888889,0.5466666666666666
quixer,100,43,17,0.6864020538330078,52.0,0.7648,0.52,0.6885320496559143,55.666666666666664,0.6580888888888888,0.5566666666666666
quixer,100,43,18,0.6857344436645508,54.0,0.7348,0.54,0.685274875164032,55.0,0.7077777777777778,0.55
quixer,100,43,19,0.6829400134086608,56.0,0.7872,0.5599999999999999,0.6836515990893046,62.333333333333336,0.7210222222222222,0.6233333333333333
quixer,100,43,20,0.6817708659172058,68.0,0.7644000000000001,0.68,0.6819586690266927,58.666666666666664,0.7030666666666666,0.5866666666666667
quixer,100,43,21,0.6765241646766662,63.0,0.7988,0.63,0.6804629826545715,57.333333333333336,0.6995555555555556,0.5733333333333334
quixer,100,43,22,0.673322057723999,63.0,0.7788,0.63,0.6780341974894206,56.666666666666664,0.7012888888888887,0.5666666666666667
quixer,100,43,23,0.6685894155502319,61.0,0.7744,0.61,0.6745861824353536,59.0,0.6967111111111111,0.5900000000000001
quixer,100,43,24,0.6606619453430176,65.0,0.774,0.65,0.6726629662513733,65.66666666666667,0.7118666666666666,0.6566666666666667
quixer,100,43,25,0.6696606349945068,61.0,0.7779999999999999,0.61,0.6900691533088684,50.0,0.7163111111111111,0.5
quixer,100,43,26,0.6926135015487671,50.0,0.7164,0.5,0.6886049461364746,50.0,0.7124444444444444,0.5
quixer,100,43,27,0.6804277658462524,50.0,0.7804000000000001,0.5,0.6697016112009684,57.0,0.7,0.57
quixer,100,43,28,0.6563671970367432,60.0,0.7672,0.6,0.6676746487617493,60.666666666666664,0.6723555555555556,0.6066666666666667
quixer,100,43,29,0.6513009881973266,63.0,0.7644,0.63,0.6558642800649007,63.666666666666664,0.7020444444444445,0.6366666666666667
quixer,100,43,30,0.6379907870292664,64.0,0.7876,0.64,0.649227077960968,66.33333333333333,0.7102666666666667,0.6633333333333333
quixer,100,43,31,0.6271571683883667,70.0,0.776,0.7,0.6433128587404887,62.333333333333336,0.7063111111111111,0.6233333333333333
quixer,100,43,32,0.6129864692687989,73.0,0.7876000000000001,0.73,0.63671773036321,63.0,0.7128888888888889,0.63
quixer,100,43,33,0.6062692594528198,72.0,0.7847999999999999,0.72,0.6325072860717773,62.666666666666664,0.7132444444444443,0.6266666666666667
quixer,100,43,34,0.5976272153854371,73.0,0.7924,0.73,0.6352062471707662,67.0,0.7239555555555556,0.67
quixer,100,43,35,0.6261313390731812,61.0,0.8012,0.61,0.6274831986427307,63.333333333333336,0.7138222222222222,0.6333333333333333
quixer,100,43,36,0.5880868029594422,74.0,0.7932,0.74,0.6354840127627055,61.333333333333336,0.7117777777777778,0.6133333333333333
quixer,100,43,37,0.5809635496139527,70.0,0.7996,0.7,0.6159788982073466,63.333333333333336,0.7300444444444444,0.6333333333333333
quixer,100,43,38,0.5768048357963562,74.0,0.812,0.74,0.6283647402127583,63.333333333333336,0.7338666666666666,0.6333333333333333
quixer,100,43,39,0.573943600654602,71.0,0.8156,0.71,0.6204150613149008,64.33333333333333,0.7301777777777778,0.6433333333333333
quixer,100,43,40,0.5736951065063477,77.0,0.8436,0.77,0.6648403835296631,58.666666666666664,0.754,0.5866666666666667
quixer,100,43,41,0.6549672377109528,55.0,0.8592000000000001,0.55,0.6426505851745605,62.666666666666664,0.7594222222222222,0.6266666666666667
quixer,100,43,42,0.5871694588661194,70.0,0.8508000000000001,0.7,0.6063367613156636,66.0,0.7482222222222222,0.6599999999999999
quixer,100,43,43,0.5563554668426514,77.0,0.8304,0.77,0.6198969086011251,65.0,0.7314666666666666,0.65
quixer,100,43,44,0.5742645120620727,75.0,0.8140000000000001,0.75,0.6064376187324524,64.66666666666667,0.7373333333333334,0.6466666666666667
