model,sample_size,run_number,epoch,train_loss,train_acc,train_auc,train_bal_acc,val_loss,val_acc,val_auc,val_bal_acc
resnet18,500,47,0,0.651435646533966,59.8,0.7026880000000001,0.5980000000000001,0.6842070126533508,53.666666666666664,0.6447555555555555,0.5366666666666666
resnet18,500,47,1,0.5832588286399841,70.6,0.787824,0.706,0.6472463583946229,63.0,0.7142666666666666,0.63
resnet18,500,47,2,0.5525507349967956,74.0,0.814496,0.74,0.5968826826413473,69.0,0.7625333333333334,0.69
resnet18,500,47,3,0.5135661053657532,77.4,0.853744,0.774,0.5552898160616557,72.0,0.8056444444444445,0.72
resnet18,500,47,4,0.486016405582428,80.4,0.877632,0.804,0.514735825061798,76.0,0.8362666666666667,0.76
resnet18,500,47,5,0.4516450102329254,82.4,0.8948160000000002,0.8240000000000001,0.4981077535947164,77.33333333333333,0.8540000000000001,0.7733333333333333
resnet18,500,47,6,0.4148888230323792,85.4,0.9176000000000001,0.854,0.462211176554362,79.33333333333333,0.8857333333333334,0.7933333333333333
resnet18,500,47,7,0.38482212436199187,86.0,0.93392,0.86,0.4445846410592397,80.33333333333333,0.8948,0.8033333333333333
resnet18,500,47,8,0.3541012966632843,89.4,0.946848,0.894,0.4235537620385488,81.33333333333333,0.8916,0.8133333333333334
resnet18,500,47,9,0.30800796842575073,90.8,0.9641280000000001,0.908,0.40597744305928546,82.0,0.9051111111111111,0.82
resnet18,500,47,10,0.28378353047370913,91.4,0.968352,0.914,0.38205772678057354,84.33333333333333,0.9140444444444444,0.8433333333333333
resnet18,500,47,11,0.24534919345378875,93.0,0.98032,0.93,0.3513104486465454,84.33333333333333,0.9347555555555556,0.8433333333333333
resnet18,500,47,12,0.2231476527452469,93.2,0.984144,0.9319999999999999,0.3884184547265371,86.0,0.9429333333333334,0.86
resnet18,500,47,13,0.20440758860111236,95.2,0.9894879999999999,0.952,0.324021121263504,86.33333333333333,0.9493333333333335,0.8633333333333333
resnet18,500,47,14,0.16761362278461456,96.0,0.9949919999999999,0.96,0.30740406235059103,86.66666666666667,0.9478666666666666,0.8666666666666667
resnet18,500,47,15,0.13632889091968536,97.4,0.998032,0.974,0.30126902063687644,87.0,0.9484,0.87
resnet18,500,47,16,0.11716571009159088,98.6,0.999088,0.986,0.3346778678894043,85.66666666666667,0.9445333333333333,0.8566666666666667
resnet18,500,47,17,0.11105584901571273,98.2,0.998,0.982,0.29951977729797363,87.66666666666667,0.9450222222222222,0.8766666666666667
resnet18,500,47,18,0.07679201748967171,99.4,0.999904,0.994,0.278621484041214,88.0,0.9527555555555556,0.88
resnet18,500,47,19,0.060699542313814164,99.8,0.999984,0.998,0.25488582571347557,91.0,0.9651555555555555,0.9099999999999999
resnet18,500,47,20,0.05135299742221832,99.6,0.999968,0.996,0.25831910530726115,90.0,0.961511111111111,0.9
resnet18,500,47,21,0.039821242094039914,100.0,1.0,1.0,0.2696635377407074,89.0,0.9593777777777778,0.89
resnet18,500,47,22,0.038917613089084625,100.0,1.0,1.0,0.2482451323668162,91.33333333333333,0.9614222222222223,0.9133333333333333
resnet18,500,47,23,0.03568449711799621,100.0,1.0,1.0,0.2785376719633738,88.0,0.957911111111111,0.88
resnet18,500,47,24,0.031470728278160096,100.0,1.0,1.0,0.2958692252635956,88.33333333333333,0.9539555555555556,0.8833333333333333
resnet18,500,47,25,0.02242026698589325,100.0,1.0,1.0,0.23610469381014507,92.33333333333333,0.9656444444444444,0.9233333333333333
resnet18,500,47,26,0.018082168824970723,100.0,1.0,1.0,0.24808177431424458,91.33333333333333,0.9633333333333334,0.9133333333333333
resnet18,500,47,27,0.014333108395338058,100.0,1.0,1.0,0.24192891399065652,91.0,0.9646222222222223,0.9099999999999999
resnet18,500,47,28,0.01857715080678463,100.0,1.0,1.0,0.26795878569285075,89.33333333333333,0.9591111111111111,0.8933333333333333
resnet18,500,47,29,0.012334418322890997,100.0,1.0,1.0,0.24270878354708353,90.33333333333333,0.9676888888888888,0.9033333333333333
resnet18,500,47,30,0.011091076552867889,100.0,1.0,1.0,0.23806047280629475,92.33333333333333,0.9660888888888889,0.9233333333333333
resnet18,500,47,31,0.01391614294052124,100.0,1.0,1.0,0.23877285559972128,90.66666666666667,0.9663111111111111,0.9066666666666666
resnet18,500,47,32,0.008926059029996394,100.0,1.0,1.0,0.2657009299596151,90.33333333333333,0.9565777777777777,0.9033333333333333
resnet18,500,47,33,0.007839357063174247,100.0,1.0,1.0,0.25001592715581256,91.0,0.9646222222222223,0.9099999999999999
resnet18,500,47,34,0.006362718736752868,100.0,1.0,1.0,0.24479144016901652,90.0,0.9653333333333334,0.8999999999999999
resnet18,500,47,35,0.0043726244755089285,100.0,1.0,1.0,0.23582158505916595,92.0,0.9661333333333333,0.9199999999999999
resnet18,500,47,36,0.005587226988747716,100.0,1.0,1.0,0.23616819977760314,91.0,0.9663555555555556,0.91
resnet18,500,47,37,0.004355757776647806,100.0,1.0,1.0,0.24336204250653584,91.66666666666667,0.9648444444444444,0.9166666666666667
resnet18,500,47,38,0.003809606969356537,100.0,1.0,1.0,0.2404330615202586,91.66666666666667,0.9657555555555556,0.9166666666666667
resnet18,500,47,39,0.0034333960562944413,100.0,1.0,1.0,0.23965006987253826,91.66666666666667,0.9667555555555556,0.9166666666666667
resnet18,500,47,40,0.004009872108697891,100.0,1.0,1.0,0.22872788985570272,92.0,0.9695555555555555,0.9199999999999999
resnet18,500,47,41,0.004265094354748726,100.0,1.0,1.0,0.24557478447755177,92.0,0.9648888888888889,0.9199999999999999
resnet18,500,47,42,0.004780057352036238,100.0,1.0,1.0,0.25682355801264445,90.0,0.9654222222222223,0.8999999999999999
resnet18,500,47,43,0.004608468949794769,100.0,1.0,1.0,0.23312676946322122,92.66666666666667,0.9693333333333334,0.9266666666666666
resnet18,500,47,44,0.0035486773177981377,100.0,1.0,1.0,0.23613318284352622,92.0,0.9677777777777777,0.9199999999999999
resnet18,500,47,45,0.0034248684979975223,100.0,1.0,1.0,0.24998389859994252,92.0,0.9652,0.9199999999999999
resnet18,500,47,46,0.0021270882934331893,100.0,1.0,1.0,0.24840075929959615,90.66666666666667,0.9651555555555555,0.9066666666666667
resnet18,500,47,47,0.0033566280361264945,100.0,1.0,1.0,0.24564569811026254,92.0,0.9666666666666667,0.9199999999999999
resnet18,500,47,48,0.0023556166924536227,100.0,1.0,1.0,0.2400696094830831,92.0,0.9683555555555556,0.92
resnet18,500,47,49,0.0027894269470125437,100.0,1.0,1.0,0.23903396765391033,92.33333333333333,0.9676,0.9233333333333333
resnet18,500,47,50,0.0018502521067857742,100.0,1.0,1.0,0.23384798248608907,92.0,0.9695111111111111,0.9199999999999999
resnet18,500,47,51,0.002317025243770331,100.0,1.0,1.0,0.23659133772055307,91.66666666666667,0.9682666666666666,0.9166666666666667
resnet18,500,47,52,0.0030431112553924323,100.0,1.0,1.0,0.2426195474465688,91.66666666666667,0.9673333333333333,0.9166666666666667
resnet18,500,47,53,0.0024660209361463785,100.0,1.0,1.0,0.26602131764094034,91.0,0.9643111111111111,0.91
resnet18,500,47,54,0.0034967372827231884,100.0,1.0,1.0,0.2500076500574748,91.66666666666667,0.9668,0.9166666666666667
resnet18,500,47,55,0.0029442598600871862,100.0,1.0,1.0,0.2393979690472285,93.0,0.9700888888888889,0.9299999999999999
resnet18,500,47,56,0.002037353850901127,100.0,1.0,1.0,0.24042177319526672,91.66666666666667,0.9692444444444445,0.9166666666666667
resnet18,500,47,57,0.0011255426937714218,100.0,1.0,1.0,0.2400462563832601,91.33333333333333,0.9684888888888888,0.9133333333333333
resnet18,500,47,58,0.00178923842869699,100.0,1.0,1.0,0.2471106274922689,91.33333333333333,0.9680444444444445,0.9133333333333333
resnet18,500,47,59,0.0012734769526869059,100.0,1.0,1.0,0.23491147696971892,92.0,0.9700444444444444,0.9199999999999999
