model,sample_size,run_number,epoch,train_loss,train_acc,train_auc,train_bal_acc,val_loss,val_acc,val_auc,val_bal_acc
quixer,100,44,0,0.7353564190864563,27.0,0.4211060375443937,0.5,0.685917732043144,73.07692307692308,0.6106934001670844,0.5
quixer,100,44,1,0.6712010860443115,73.0,0.6286149162861492,0.5,0.6401849312660022,73.07692307692308,0.5104427736006684,0.5
quixer,100,44,2,0.6292432069778442,73.0,0.5824454591577879,0.5,0.606709986160963,73.07692307692308,0.5964912280701755,0.5
quixer,100,44,3,0.6038596391677856,73.0,0.4540842212075089,0.5,0.5879938816412901,73.07692307692308,0.5847953216374269,0.5
quixer,100,44,4,0.5858910250663757,73.0,0.5898021308980212,0.5,0.5821419342970237,73.07692307692308,0.5856307435254804,0.5
quixer,100,44,5,0.5875937509536743,73.0,0.4175545408422121,0.5,0.5828246810497382,73.07692307692308,0.5605680868838764,0.5
quixer,100,44,6,0.5831290769577027,73.0,0.6433282597666159,0.5,0.5831267237663269,73.07692307692308,0.5488721804511278,0.5
quixer,100,44,7,0.5836076164245605,73.0,0.6676813800101471,0.5,0.583197411818382,73.07692307692308,0.5505430242272348,0.5
quixer,100,44,8,0.5838440608978271,73.0,0.6113647894469811,0.5,0.5832373392887604,73.07692307692308,0.5551378446115288,0.5
quixer,100,44,9,0.5838200521469116,73.0,0.6494165398274988,0.5,0.5837540779358301,73.07692307692308,0.5655806182121972,0.5
quixer,100,44,10,0.5842370128631592,73.0,0.6666666666666666,0.5,0.5831487255218701,73.07692307692308,0.5722639933166249,0.5
quixer,100,44,11,0.5822672462463379,73.0,0.6484018264840182,0.5,0.5818846607819582,73.07692307692308,0.5655806182121972,0.5
quixer,100,44,12,0.581907081604004,73.0,0.6291222729578895,0.5,0.5816465692642407,73.07692307692308,0.5873015873015873,0.5
quixer,100,44,13,0.5821147871017456,73.0,0.6352105530187723,0.5,0.5817427910291232,73.07692307692308,0.6115288220551378,0.5
quixer,100,44,14,0.5821078038215637,73.0,0.6971080669710807,0.5,0.581951787838569,73.07692307692308,0.6232247284878863,0.5
quixer,100,44,15,0.5819990491867065,73.0,0.7382039573820396,0.5,0.5811648246569511,73.07692307692308,0.6148705096073517,0.5
quixer,100,44,16,0.5807700991630554,73.0,0.7914764079147641,0.5,0.5808078172879342,73.07692307692308,0.5998329156223893,0.5
quixer,100,44,17,0.5797800588607788,73.0,0.6808726534753932,0.5,0.580424353098258,73.07692307692308,0.606516290726817,0.5
quixer,100,44,18,0.5792977261543274,73.0,0.7290715372907154,0.5,0.5799672817572569,73.07692307692308,0.5873015873015873,0.5
quixer,100,44,19,0.5778043210506439,73.0,0.7275494672754947,0.5,0.5798081205441401,73.07692307692308,0.5697577276524646,0.5
quixer,100,44,20,0.5766417002677917,73.0,0.734652460679858,0.5,0.5796258587103623,73.07692307692308,0.6048454469507101,0.5
quixer,100,44,21,0.5768879902362823,73.0,0.7295788939624557,0.5,0.580634919496683,73.07692307692308,0.5948203842940685,0.5
quixer,100,44,22,0.5759728121757507,73.0,0.7275494672754946,0.5,0.5822329001548963,73.07692307692308,0.5622389306599833,0.5
quixer,100,44,23,0.575887987613678,73.0,0.7113140537798072,0.5,0.581554603882325,73.07692307692308,0.5463659147869674,0.5
quixer,100,44,24,0.5768419599533081,73.0,0.6301369863013698,0.5,0.5811416262235397,73.07692307692308,0.5213032581453634,0.5
quixer,100,44,25,0.5738513422012329,73.0,0.6752917300862507,0.5,0.579312203786312,73.07692307692308,0.5563909774436091,0.5
quixer,100,44,26,0.5726143169403076,73.0,0.7006595636732623,0.5,0.5771154348666852,73.07692307692308,0.5722639933166249,0.5
quixer,100,44,27,0.5656395816802978,73.0,0.7600202942668697,0.5,0.5784557981368823,73.07692307692308,0.5588972431077693,0.5
quixer,100,44,28,0.5651169061660767,73.0,0.7113140537798073,0.5,0.5774565491920862,73.07692307692308,0.5764411027568923,0.5
quixer,100,44,29,0.5588055121898651,73.0,0.7407407407407408,0.5,0.5762500014060583,73.07692307692308,0.5806182121971596,0.5
quixer,100,44,30,0.5484088683128356,73.0,0.7559614408929478,0.5,0.5754649226482098,73.07692307692308,0.5931495405179615,0.5
quixer,100,44,31,0.5668625688552856,73.0,0.6681887366818874,0.5,0.5780059496561686,73.07692307692308,0.5664160401002507,0.5
quixer,100,44,32,0.5589955282211304,73.0,0.7245053272450532,0.5,0.5874095589686663,73.07692307692308,0.47034252297410195,0.5
quixer,100,44,33,0.5769664764404296,73.0,0.6113647894469812,0.5,0.5817787570831103,73.07692307692308,0.48454469507101083,0.5
quixer,100,44,34,0.5758945369720458,73.0,0.6047691527143583,0.5,0.5811203198555188,73.07692307692308,0.5421888053467001,0.5
quixer,100,44,35,0.571267431974411,73.0,0.7062404870624048,0.5,0.5805313266240634,73.07692307692308,0.5580618212197159,0.5
quixer,100,44,36,0.5640065002441407,73.0,0.7437848807711821,0.5,0.5799150925416213,73.07692307692308,0.5747702589807854,0.5
quixer,100,44,37,0.553792668581009,73.0,0.7838660578386606,0.5,0.5839718778928121,73.07692307692308,0.5964912280701754,0.5
quixer,100,44,38,0.5495944380760193,73.0,0.7691527143581938,0.5,0.5759338736534119,73.07692307692308,0.595655806182122,0.5
quixer,100,44,39,0.5289876508712769,73.0,0.7656012176560122,0.5,0.574008781176347,73.07692307692308,0.5806182121971595,0.5
quixer,100,44,40,0.5355139207839966,73.0,0.76103500761035,0.5,0.5692848058847281,73.07692307692308,0.6232247284878865,0.5
