model,sample_size,run_number,epoch,train_loss,train_acc,train_auc,train_bal_acc,val_loss,val_acc,val_auc,val_bal_acc
resnet18,546,43,0,0.6181347206398681,70.87912087912088,0.6343750532794571,0.5730397422126745,0.6644188853410574,71.7948717948718,0.5563909774436091,0.49122807017543857
resnet18,546,43,1,0.5327360250137665,73.62637362637362,0.7449917310282509,0.5102040816326531,0.7004819695766156,43.58974358974359,0.5839598997493735,0.5238095238095238
resnet18,546,43,2,0.5087112943768065,75.45787545787546,0.7584096295159668,0.5528105979233798,0.7509143673456632,38.46153846153846,0.7067669172932332,0.5789473684210527
resnet18,546,43,3,0.49200743371313743,77.28937728937728,0.7801305986053568,0.5868242033655567,0.5395250305151328,78.2051282051282,0.7928153717627402,0.7005012531328321
resnet18,546,43,4,0.4755379660225613,79.48717948717949,0.7961570593149541,0.6340852130325814,0.4727880427470574,75.64102564102564,0.8111946532999165,0.6077694235588973
resnet18,546,43,5,0.46429080360538355,81.13553113553114,0.8133428810120539,0.6668456856426781,0.4549153317243625,75.64102564102564,0.8195488721804511,0.6228070175438596
resnet18,546,43,6,0.4405920006634988,81.13553113553114,0.8378088077336198,0.6754385964912281,0.44838439119167817,76.92307692307692,0.8287385129490393,0.6165413533834586
resnet18,546,43,7,0.4211880983887138,82.78388278388279,0.8560175950079281,0.7081990691013247,0.42938937667088634,78.2051282051282,0.8538011695906433,0.62531328320802
resnet18,546,43,8,0.39384797029879504,83.51648351648352,0.8919066373416534,0.7110633727175081,0.413050549916732,79.48717948717949,0.8629908103592314,0.6791979949874687
resnet18,546,43,9,0.3631141478325421,86.81318681318682,0.9184014457913492,0.7787325456498388,0.41343701115021336,78.2051282051282,0.8696741854636592,0.6704260651629073
resnet18,546,43,10,0.3483541115518018,86.44688644688645,0.9288186452525873,0.774078052273541,0.40364319468155885,83.33333333333333,0.8822055137844612,0.7055137844611529
resnet18,546,43,11,0.3102594303997445,89.92673992673993,0.9620309276592842,0.8236663086287146,0.44463030497233075,82.05128205128206,0.8671679197994988,0.7568922305764412
resnet18,546,43,12,0.2831215613927597,91.20879120879121,0.9679811774333794,0.849624060150376,0.4045758591248439,80.76923076923077,0.8989139515455304,0.6428571428571428
resnet18,546,43,13,0.23978376585048633,94.32234432234432,0.9904523212793889,0.9095954171142141,0.38529165585835773,83.33333333333333,0.8805346700083542,0.7355889724310777
resnet18,546,43,14,0.2079294821718237,95.78754578754578,0.995874038838593,0.9282133906194057,0.34759112886893445,85.8974358974359,0.9064327485380117,0.7531328320802004
