model,sample_size,run_number,epoch,train_loss,train_acc,train_auc,train_bal_acc,val_loss,val_acc,val_auc,val_bal_acc
deit,1000,46,0,0.5168539953231811,75.5,0.7161871330366284,0.5681742201048914,0.41095337885936706,81.4885496183206,0.8578882224126441,0.6673426640007617
deit,1000,46,1,0.4059254603385925,81.3,0.8541392423577593,0.7159729622432562,0.4304106681401493,80.53435114503817,0.9111301532895364,0.8350376083023898
deit,1000,46,2,0.35310089099407194,84.9,0.8924862617271568,0.79079692429846,0.32006140451394877,85.30534351145039,0.9266495287060839,0.8478244311149196
deit,1000,46,3,0.3009296761751175,86.3,0.9250767880649409,0.8166645771955118,0.2707977357484002,86.45038167938931,0.9423212415500334,0.8095877368370942
deit,1000,46,4,0.28342559027671815,87.6,0.9360778536952297,0.8418583756451242,0.3151626960011839,86.25954198473282,0.9356564791012092,0.8566695229934305
deit,1000,46,5,0.27493380844593046,87.3,0.9385382059800663,0.8297237719133288,0.2511698103133049,88.93129770992367,0.9489479196420071,0.8625725983052461
deit,1000,46,6,0.2386219073086977,89.6,0.9551495016611296,0.8768256754215509,0.23481003695544395,88.54961832061069,0.9611539560125678,0.8237265543178139
deit,1000,46,7,0.22729376462101936,90.2,0.9585814580329718,0.8796046720575023,0.21758980133378777,91.22137404580153,0.9620870227554033,0.8852518328096735
deit,1000,46,8,0.20517159688472747,91.9,0.9669550136860361,0.899909108004764,0.21820376193477908,90.45801526717557,0.9687898695610778,0.8510901647148433
deit,1000,46,9,0.21139425444602966,91.6,0.964317056353037,0.8978875446624459,0.2260321635212607,91.22137404580153,0.9606588593735124,0.8804151194896697
deit,1000,46,10,0.1934459228515625,91.4,0.9707265091205416,0.9079170062057293,0.2775136044405344,91.03053435114504,0.9693325716461965,0.8452727792059411
deit,1000,46,11,0.25785821747779847,90.2,0.9466558014166614,0.8720198917653942,0.23219653890105604,90.83969465648855,0.9702180329429686,0.8512425021422451
deit,1000,46,12,0.1873533090353012,92.5,0.9716197580392403,0.9014239745920307,0.23473126583426962,91.98473282442748,0.9693040083785585,0.8637912977244597
deit,1000,46,13,0.16397654913365842,93.4,0.9802022608077895,0.9201299651058317,0.21127132332051984,91.41221374045801,0.9731505284204512,0.8550985432733504
deit,1000,46,14,0.14446960321068764,94.0,0.9844752293194592,0.9229089617417832,0.1957988635786162,93.3206106870229,0.9749785775492716,0.8969722936303913
deit,1000,46,15,0.14786507450044156,94.3,0.9825842579243194,0.9312511753275245,0.20303442269449926,93.12977099236642,0.9764638674664382,0.8981053032466915
deit,1000,46,16,0.15191949996352197,94.1,0.9820932322029294,0.9261110762865918,0.3379265636433172,85.30534351145039,0.9735504141673808,0.8913548509949538
deit,1000,46,17,0.12585072842985393,95.1,0.9875624229507511,0.9429626611504628,0.21119978631498249,91.79389312977099,0.9784823383795106,0.9205465105208036
deit,1000,46,18,0.1275330355167389,95.4,0.9867684239119079,0.9411918343467268,0.17920413237946634,92.93893129770993,0.978520422736361,0.9185851661430067
deit,1000,46,19,0.10022742784023285,96.8,0.9917674836498882,0.9531540567082472,0.2101438611973333,93.12977099236642,0.9760068551842331,0.9150337998667049
deit,1000,46,20,0.08739704322814941,96.1,0.9942539543241606,0.947172945527487,0.19510664887555684,92.17557251908397,0.9741216795201372,0.903770351328192
deit,1000,46,21,0.11036085198819637,95.8,0.9909003531206251,0.9451513821851689,0.22896665641824707,90.64885496183206,0.9768256688565172,0.9176711415785965
