model,sample_size,run_number,epoch,train_loss,train_acc,train_auc,train_bal_acc,val_loss,val_acc,val_auc,val_bal_acc
resnet18,100,47,0,0.7266421175003052,28.0,0.7318087318087318,0.5135135135135135,0.7007108949522936,25.763358778625953,0.3847662572598305,0.5
resnet18,100,47,1,0.6343305063247681,75.0,0.9438669438669439,0.8310810810810811,0.6674225899099394,74.23664122137404,0.3174521565267067,0.5
resnet18,100,47,2,0.568167142868042,90.0,0.9579002079002079,0.9074844074844075,0.6239685047673815,74.23664122137404,0.35129010758830814,0.5
resnet18,100,47,3,0.5182316279411316,92.0,0.9646569646569647,0.9085239085239085,0.5878593912561432,74.23664122137404,0.4251166333428545,0.5
resnet18,100,47,4,0.47266554832458496,90.0,0.9615384615384616,0.8326403326403327,0.5711658910940621,74.23664122137404,0.5013805579358279,0.5
resnet18,100,47,5,0.4437838816642761,88.0,0.9584199584199584,0.8066528066528067,0.5736607021957864,74.23664122137404,0.5738550890221841,0.5
resnet18,100,47,6,0.4064613127708435,89.0,0.9677754677754679,0.8134095634095635,0.5919348618001429,74.23664122137404,0.6208131010187565,0.5
resnet18,100,47,7,0.38216746926307676,89.0,0.9682952182952183,0.8258835758835759,0.6151857678671829,74.23664122137404,0.6380653146719985,0.5
resnet18,100,47,8,0.35987942934036254,90.0,0.9719334719334719,0.8201663201663202,0.6441746274478563,74.23664122137404,0.6553556126820909,0.5
resnet18,100,47,9,0.34166590571403505,89.0,0.9760914760914761,0.8134095634095635,0.6656595978118082,74.23664122137404,0.6737884413976959,0.5
resnet18,100,47,10,0.32074906706809997,92.0,0.9844074844074845,0.8586278586278586,0.686268734567948,74.23664122137404,0.6964581548129106,0.5
resnet18,100,47,11,0.3110825061798096,91.0,0.9802494802494802,0.8393970893970895,0.6935301857595225,74.23664122137404,0.7291630962582121,0.5
resnet18,100,47,12,0.29910467863082885,90.0,0.9818087318087318,0.8326403326403327,0.6960523993004369,74.23664122137404,0.7694944301628106,0.5
resnet18,100,47,13,0.30258920669555667,90.0,0.9719334719334719,0.8326403326403327,0.6913696081583737,74.23664122137404,0.8027230315148053,0.5
resnet18,100,47,14,0.27362011551856996,92.0,0.9823284823284824,0.8711018711018712,0.6553138282917838,74.23664122137404,0.8358183376178234,0.5
resnet18,100,47,15,0.29702147483825686,91.0,0.9630977130977131,0.8643451143451144,0.6136265212797937,74.23664122137404,0.8690088546129677,0.5
resnet18,100,47,16,0.25586262106895447,94.0,0.9844074844074844,0.9095634095634095,0.5518947823812034,74.61832061068702,0.9010187565457488,0.5074074074074074
resnet18,100,47,17,0.24645751953125,93.0,0.9828482328482329,0.9028066528066527,0.49653656041349165,75.0,0.9169189755308009,0.5148148148148148
resnet18,100,47,18,0.2404337477684021,93.0,0.9802494802494803,0.8903326403326404,0.4576769760091796,75.76335877862596,0.9260020946396267,0.5320479862896316
resnet18,100,47,19,0.2316979742050171,94.0,0.9880457380457381,0.9095634095634095,0.38169298463195334,80.1526717557252,0.9390650290393222,0.6196515281348186
resnet18,100,47,20,0.2721890521049499,88.0,0.9662162162162162,0.8191268191268191,0.33687569144117924,81.4885496183206,0.9478244311149195,0.6552508807007522
resnet18,100,47,21,0.2158587768673897,96.0,0.9885654885654884,0.9480249480249481,0.33286798773831083,81.6793893129771,0.9467771113015329,0.6613729410644578
resnet18,100,47,22,0.2033152237534523,94.0,0.9916839916839917,0.9095634095634095,0.30513224961193464,84.73282442748092,0.9509283061982291,0.7206322003237171
resnet18,100,47,23,0.20695879459381103,94.0,0.9927234927234927,0.9095634095634095,0.2664676116395543,90.45801526717557,0.9571931829001238,0.8559268780348472
resnet18,100,47,24,0.19981292456388475,95.0,0.9896049896049897,0.9287941787941788,0.26479816152394275,89.69465648854961,0.9576311530039036,0.8338569932400266
resnet18,100,47,25,0.279622985124588,91.0,0.9521829521829522,0.8643451143451144,0.2686487401032266,89.50381679389314,0.9541464343520898,0.8228982195563173
resnet18,100,47,26,0.20403939187526704,94.0,0.9906444906444907,0.8970893970893972,0.2638376669119333,90.07633587786259,0.954698657526421,0.8485194706274397
resnet18,100,47,27,0.19140029072761536,94.0,0.9932432432432432,0.8970893970893972,0.2555753502226968,89.50381679389314,0.9583737979624869,0.85191849947634
resnet18,100,47,28,0.16544448733329772,94.0,0.9958419958419958,0.9095634095634095,0.2630032040463149,89.69465648854961,0.9590021898505189,0.8846424831000667
resnet18,100,47,29,0.17761576533317566,95.0,0.9906444906444906,0.9287941787941788,0.26053396265470347,89.69465648854961,0.9570218032942969,0.8798057697800629
resnet18,100,47,30,0.1644457459449768,95.0,0.9942827442827442,0.9163201663201663,0.2565531797763955,89.69465648854961,0.9571931829001238,0.8701323431400552
resnet18,100,47,31,0.1470494645833969,97.0,0.9963617463617463,0.9672557172557172,0.24771513090333866,89.8854961832061,0.9588498524231173,0.8665809768637532
resnet18,100,47,32,0.15244493186473845,96.0,0.9948024948024948,0.9480249480249481,0.24589345643993551,90.64885496183206,0.9607921546224888,0.8886508616585738
resnet18,100,47,33,0.1512716841697693,95.0,0.9953222453222452,0.9287941787941788,0.24864867124848694,90.45801526717557,0.9605446063029611,0.887365514614872
resnet18,100,47,34,0.13390271067619325,100.0,1.0,1.0,0.24931091695796442,89.31297709923665,0.9566409597257927,0.8482147957726364
resnet18,100,47,35,0.1375504806637764,97.0,1.0,0.9423076923076923,0.24204833100315268,90.07633587786259,0.9587546415309912,0.8485194706274397
resnet18,100,47,36,0.1324916362762451,97.0,0.997920997920998,0.9547817047817049,0.2340590324793153,90.64885496183206,0.9617252213653241,0.8789774350185662
resnet18,100,47,37,0.12364397406578063,98.0,1.0,0.9615384615384616,0.23668361256140788,90.83969465648855,0.9611158716557174,0.8875178520422736
resnet18,100,47,38,0.12360582947731018,97.0,0.998960498960499,0.9672557172557172,0.23987102633669177,89.8854961832061,0.958297629248786,0.8593259068837475
resnet18,100,47,39,0.11943353593349457,98.0,0.998960498960499,0.9615384615384616,0.2501226649939559,89.8854961832061,0.9553651337713034,0.8714176901837569
resnet18,100,47,40,0.10650066614151,100.0,1.0,1.0,0.2420664838024678,90.07633587786259,0.9604684375892601,0.8896315338474722
resnet18,100,47,41,0.12400389693677426,97.0,0.998960498960499,0.9423076923076923,0.23650781946782848,90.26717557251908,0.9616109682947729,0.888498524231172
resnet18,100,47,42,0.10779268071055412,99.0,0.998960498960499,0.9932432432432432,0.2337316514654014,90.26717557251908,0.9616871370084737,0.888498524231172
resnet18,100,47,43,0.10066823303699493,98.0,0.9994802494802495,0.974012474012474,0.23280987518889304,91.03053435114504,0.9604493954108351,0.8936399124059793
resnet18,100,47,44,0.07957047685980796,100.0,1.0,1.0,0.23146375240260408,90.07633587786259,0.9605636484813862,0.8727030372274588
resnet18,100,47,45,0.10034067392349243,97.0,0.998960498960499,0.9423076923076923,0.2298335815204009,90.83969465648855,0.9614586308673713,0.8875178520422736
resnet18,100,47,46,0.09014392614364625,98.0,0.9994802494802495,0.974012474012474,0.235979096693847,89.69465648854961,0.9625059506807578,0.8894791964200705
resnet18,100,47,47,0.10040569067001343,99.0,0.9994802494802495,0.9807692307692308,0.2247304298723017,90.64885496183206,0.9629629629629629,0.8765590783585642
resnet18,100,47,48,0.09038395702838897,100.0,1.0,1.0,0.2226270197229531,91.22137404580153,0.9640864514900505,0.8828334761496714
resnet18,100,47,49,0.0785769909620285,100.0,1.0,1.0,0.21811218571116905,91.03053435114504,0.963781776635247,0.8815481291059697
resnet18,100,47,50,0.09042853891849517,99.0,0.9994802494802495,0.9807692307692308,0.2221654594399547,90.83969465648855,0.9630772160335141,0.8899362087022755
resnet18,100,47,51,0.07197214066982269,100.0,1.0,1.0,0.22586927238766474,90.07633587786259,0.9606969437303627,0.8581928972674474
resnet18,100,47,52,0.07474408507347106,100.0,1.0,1.0,0.22964747682327533,90.26717557251908,0.9593068647053223,0.8618966009711511
resnet18,100,47,53,0.07024046011269093,100.0,1.0,1.0,0.23383661376610967,90.64885496183206,0.9623726554317815,0.9007426449585832
resnet18,100,47,54,0.06574224978685379,100.0,1.0,1.0,0.263507952103178,89.8854961832061,0.963496143958869,0.9101113967437875
resnet18,100,47,55,0.05313056707382202,100.0,1.0,1.0,0.2478258276486215,89.50381679389314,0.9636675235646958,0.9002856326763782
resnet18,100,47,56,0.05002830907702446,100.0,1.0,1.0,0.24139495080208961,90.26717557251908,0.9637627344568218,0.9030086641911834
