model,sample_size,run_number,epoch,train_loss,train_acc,train_auc,train_bal_acc,val_loss,val_acc,val_auc,val_bal_acc
swin,1000,47,0,0.5531477971076966,72.5,0.6595676884180612,0.5125629453185399,0.43027086294334355,78.62595419847328,0.8730267542606873,0.587603541845187
swin,1000,47,1,0.41004477071762085,81.8,0.8508692200004179,0.7003802837501828,0.36712958862763323,84.54198473282443,0.9077216033514234,0.825754546320099
swin,1000,47,2,0.35032052755355836,84.6,0.8940690361269562,0.7660210200798178,0.3804685913651954,82.25190839694656,0.9246310577930116,0.6603922688755594
swin,1000,47,3,0.3154192957878113,85.9,0.9168181533253934,0.7848941682860069,0.29031572860615856,87.59541984732824,0.9391792821098736,0.8463200990193278
swin,1000,47,4,0.29752958822250364,86.9,0.9276625086190685,0.8042740132472471,0.2668743299618932,87.40458015267176,0.9473483766542892,0.7918309054555841
swin,1000,47,5,0.2681874063014984,89.2,0.9422888067030233,0.8437911364633611,0.2867960359417755,86.06870229007633,0.9551937541654764,0.746558126249643
swin,1000,47,6,0.2829530439376831,87.9,0.9339988298961532,0.8249179882571721,0.2724354609505821,88.54961832061069,0.9553651337713034,0.8890221841378654
swin,1000,47,7,0.26566769456863404,88.8,0.9443155937232286,0.8461522388683425,0.2314537640746313,91.6030534351145,0.9597638769875273,0.8926592402170808
swin,1000,47,8,0.24360430747270584,89.8,0.9530757015399403,0.8579473035374747,0.31391352961081587,85.49618320610686,0.961172998190993,0.7281919451585261
swin,1000,47,9,0.222456560254097,90.9,0.9605298898848702,0.8615673123132535,0.21265986476463217,90.83969465648855,0.9621251071122536,0.8778444254022659
swin,1000,47,10,0.2114185893535614,91.9,0.9636118598382748,0.8961167178587099,0.20549611042019064,91.03053435114504,0.9728268113872227,0.9033133390459869
swin,1000,47,11,0.20101177564263345,91.9,0.9678639336383961,0.8948525878100253,0.2666179757309324,87.78625954198473,0.9723888412834428,0.7774731029229744
swin,1000,47,12,0.22797803622484208,89.5,0.9604201926492405,0.8685670406820034,0.20435021334249553,91.41221374045801,0.973759878130058,0.8550985432733504
swin,1000,47,13,0.18827731728553773,92.1,0.9728107565975052,0.8822948661693726,0.1788155019055796,92.74809160305344,0.9764067409311625,0.8810244691992763
swin,1000,47,14,0.16375762915611267,94.0,0.979188867297687,0.9203807016444139,0.28097126638616315,89.69465648854961,0.9721793773207654,0.8024183566600018
swin,1000,47,15,0.17287515044212343,92.5,0.975976305397104,0.8988957144946614,0.2342210100352309,89.12213740458016,0.974293059125964,0.9049700085689802
swin,1000,47,16,0.17688150370121003,93.9,0.9767546334022859,0.9323481476838211,0.19949046721440236,91.6030534351145,0.9780824526325812,0.8539655336570504
swin,1000,47,17,0.13845425128936767,94.4,0.9851229653774629,0.9230761194341712,0.17528029991925217,93.70229007633588,0.9764638674664381,0.899542987717795
swin,1000,47,18,0.14115319496393203,94.7,0.9834461647756954,0.9288900729225433,0.15946803361404943,92.74809160305344,0.9811292011806151,0.9197181757593069
swin,1000,47,19,0.1281308965086937,95.4,0.9870713972293613,0.9411918343467268,0.16852628115479273,94.08396946564885,0.97796819956203,0.9045320384652005
swin,1000,47,20,0.1285204168483615,94.7,0.9871027392966839,0.9276259428738587,0.18195805215198574,94.08396946564885,0.9798533752261258,0.8996953251451966
swin,1000,47,21,0.11103461092710495,95.9,0.9902369460289602,0.9432969765352389,0.1556260156949968,93.5114503816794,0.9797772065124251,0.9127677806341046
swin,1000,47,22,0.09399833978712559,96.9,0.9931256399005413,0.9601485613991099,0.1866428621170175,92.55725190839695,0.9765971627154147,0.9160144720556032
swin,1000,47,23,0.09228139697015285,96.9,0.9930211663427986,0.9525637811070018,0.14227328489299948,94.46564885496183,0.9831667142721128,0.9288679424926212
swin,1000,47,24,0.08880823415517806,96.9,0.9935539814872856,0.9614126914477945,0.18395708137341127,93.12977099236642,0.976997048462344,0.8981053032466915
swin,1000,47,25,0.07750538377463817,96.9,0.9956277816084749,0.9626768214964793,0.24201016514810897,92.55725190839695,0.9843473293344759,0.8579739122155574
swin,1000,47,26,0.07392926728725434,97.0,0.9956173342527006,0.9570300257004952,0.13896360185765128,95.0381679389313,0.9849566790440827,0.9327239836237265
swin,1000,47,27,0.086664136916399,96.6,0.993569652520947,0.9555987379594224,0.16295114136834182,93.3206106870229,0.9831286299152623,0.9211558602304104
swin,1000,47,28,0.07667929340898991,97.1,0.9952673478342632,0.9589680101966193,0.1598570674430323,94.08396946564885,0.9839664857659716,0.9117871084452062
swin,1000,47,29,0.04976514241099358,98.4,0.9982918573309095,0.9803694185001776,0.3189267365987064,91.79389312977099,0.982919165952585,0.8431590974007426
swin,1000,47,30,0.04515883658081293,98.0,0.9987149752397667,0.9700892204183121,0.18348981306411838,93.12977099236642,0.981928972674474,0.910197086546701
swin,1000,47,31,0.04437160380743444,98.8,0.9984276729559749,0.983064836289935,0.19062299378045644,94.08396946564885,0.9826811387222698,0.9045320384652005
swin,1000,47,32,0.04695767530798912,98.1,0.9983806598549907,0.9745554650118056,0.22190473382254594,94.65648854961832,0.9809006950395125,0.9108064362563077
swin,1000,47,33,0.04217941267346032,98.4,0.9985216991579431,0.9778411584028083,0.23075954377196217,93.89312977099236,0.9836618109111682,0.8911549081214891
swin,1000,47,34,0.030368100240826607,99.0,0.9993365929083349,0.9869408052821831,0.20337758560217065,94.8473282442748,0.9842521184423498,0.9193468532800153
swin,1000,47,35,0.023002487637102605,99.4,0.9997649344950793,0.9921644831693098,0.29035348200616035,92.74809160305344,0.985480338950776,0.864095972579263
swin,1000,47,36,0.02582140917144716,99.6,0.9994462901439646,0.9947763221128731,0.21238301307645463,93.3206106870229,0.9829953346662859,0.9114824335904028
